"Director_id","Name","Rating","Movie_Count"
nm0251027,Ertem Egilmez,9.2,1
nm2339782,Murat Dündar,9.1,1
nm2755490,Amitabh Reza Chowdhury,9.0,1
nm7882203,Kiranraj K,8.9,1
nm4377096,T.J. Gnanavel,8.8,1
nm0534856,Madhavan,8.8,1
nm1464314,Sudha Kongara,8.7,1
nm0462030,Masaki Kobayashi,8.6,1
nm0000905,Roberto Benigni,8.6,1
nm2380725,Hanu Raghavapudi,8.6,1
nm0473936,Kurt Kuenne,8.5,1
nm4242320,C. Prem Kumar,8.5,1
nm0294825,Ron Fricke,8.45,2
nm1892252,Vivek Agnihotri,8.4,2
nm0895048,Dziga Vertov,8.4,1
nm0459552,Elem Klimov,8.4,1
nm3315387,Vishnuvardhan,8.4,1
nm2694309,Louie Psihoyos,8.4,1
nm1721001,Justin Folk,8.4,1
nm2535507,Mukesh Chhabra,8.4,1
nm1701024,Nadine Labaki,8.4,1
nm2371802,Thomas Kail,8.4,1
nm4274575,Vetrimaaran,8.4,1
nm2572228,Jeethu Joseph,8.35,2
nm0000122,Charles Chaplin,8.32,6
nm4318159,Nitesh Tiwari,8.3,2
nm0006249,Satyajit Ray,8.3,1
nm0612322,Robert Mulligan,8.3,1
nm0549658,Richard Marquand,8.3,1
nm0416945,Steve James,8.3,1
nm6142895,Rishab Shetty,8.3,1
nm2391751,Abhishek Pathak,8.3,1
nm8631915,Can Ulkay,8.3,1
nm6442107,Ram Kumar,8.3,1
nm1365879,Morgan Neville,8.3,1
nm0001120,Vittorio De Sica,8.25,2
nm6073824,Prashanth Neel,8.25,2
nm0001466,Sergio Leone,8.22,6
nm0003433,Carl Theodor Dreyer,8.2,1
nm0654868,Yasujirô Ozu,8.2,1
nm0002020,Costa-Gavras,8.2,1
nm0716585,Godfrey Reggio,8.2,1
nm0006498,Majid Majidi,8.2,1
nm1463981,Çagan Irmak,8.2,1
nm1725469,Florian Zeller,8.2,1
nm3133017,Mehmet Ada Öztekin,8.2,1
nm0031342,Predrag Antonijevic,8.2,1
nm1417038,Haruo Sotozaki,8.2,1
nm4627221,Darin J. Sallam,8.2,1
nm0002728,Juan José Campanella,8.2,1
nm0223606,Tigmanshu Dhulia,8.2,1
nm2480587,Charles Ferguson,8.2,1
nm0070594,Malik Bendjelloul,8.2,1
nm1723225,Nishikant Kamat,8.2,1
nm3809021,Alper Caglar,8.2,1
nm1437189,Sriram Raghavan,8.2,1
nm2336554,Aditya Dhar,8.2,1
nm0000485,Fritz Lang,8.17,3
nm0634240,Christopher Nolan,8.15,11
nm0167241,Henri-Georges Clouzot,8.15,2
nm0438090,Asif Kapadia,8.15,2
nm0000040,Stanley Kubrick,8.1,11
nm0001008,Frank Capra,8.1,5
nm0523932,Ernst Lubitsch,8.1,2
nm0443411,Tony Kaye,8.1,2
nm0587277,Lewis Milestone,8.1,1
nm0909825,Raoul Walsh,8.1,1
nm0202088,Jules Dassin,8.1,1
nm0690597,Gillo Pontecorvo,8.1,1
nm0611531,Hrishikesh Mukherjee,8.1,1
nm0001023,John Cassavetes,8.1,1
nm0802693,Ramesh Sippy,8.1,1
nm0002160,Moustapha Akkad,8.1,1
nm0001945,Claude Berri,8.1,1
nm0155280,Kaige Chen,8.1,1
nm0559877,John Mathew Matthan,8.1,1
nm0945981,Edward Yang,8.1,1
nm0889943,Ömer Vargi,8.1,1
nm0024912,Shimit Amin,8.1,1
nm0254178,Adam Elliot,8.1,1
nm10293473,Ali Tabrizi,8.1,1
nm0003939,Vikramaditya Motwane,8.1,1
nm1084488,Umesh Shukla,8.1,1
nm1363250,Gabriela Cowperthwaite,8.1,1
nm0882203,Zaza Urushadze,8.1,1
nm1167933,Damián Szifron,8.1,1
nm4784536,Neeraj Ghaywan,8.1,1
nm2210720,Naoko Yamada,8.1,1
nm2287772,Aniruddha Roy Chowdhury,8.1,1
nm1780037,Céline Sciamma,8.1,1
nm1530433,Todd Douglas Miller,8.1,1
nm3481620,Sashi Kiran Tikka,8.1,1
nm0000005,Ingmar Bergman,8.07,9
nm0000694,Wim Wenders,8.05,2
nm0440604,Anurag Kashyap,8.05,2
nm0015295,Zoya Akhtar,8.05,2
nm0000180,David Lean,8.04,5
nm0386246,Rajkumar Hirani,8.04,5
nm0000697,Billy Wilder,8.03,10
nm7992231,Lokesh Kanagaraj,8.03,3
nm0000019,Federico Fellini,8.0,5
nm0003638,F.W. Murnau,8.0,2
nm0719756,Jean Renoir,8.0,2
nm2134474,Vikas Bahl,8.0,2
nm0927468,Robert Wiene,8.0,1
nm0744023,Roberto Rossellini,8.0,1
nm0869664,Jacques Tourneur,8.0,1
nm0357607,Robert Hamer,8.0,1
nm0001452,Charles Laughton,8.0,1
nm0744035,Robert Rossen,8.0,1
nm0899581,Luchino Visconti,8.0,1
nm0960028,Katsuhiro Ôtomo,8.0,1
nm0764316,Rajkumar Santoshi,8.0,1
nm0000671,Billy Bob Thornton,8.0,1
nm1030706,Jae-young Kwak,8.0,1
nm0437625,Je-kyu Kang,8.0,1
nm1571761,Sian Heder,8.0,1
nm0847690,Yôjirô Takita,8.0,1
nm2896395,Levent Semerci,8.0,1
nm0284369,Ari Folman,8.0,1
nm6649966,Chandoo Mondeti,8.0,1
nm2612991,Banksy,8.0,1
nm0667650,Frank Pavich,8.0,1
nm0080235,Vishal Bhardwaj,8.0,1
nm1441566,Marwan Hamed,8.0,1
nm0204628,Garth Davis,8.0,1
nm0688636,Laura Poitras,8.0,1
nm0316795,Alex Gibney,8.0,1
nm1120092,Jasmila Zbanic,8.0,1
nm0001104,Frank Darabont,7.98,4
nm0594503,Hayao Miyazaki,7.97,11
nm0149196,Nuri Bilge Ceylan,7.97,3
nm1442514,S.S. Rajamouli,7.95,4
nm0695937,Otto Preminger,7.95,2
nm0001501,Louis Malle,7.95,2
nm0836328,John Sturges,7.95,2
nm0578483,Jean-Pierre Melville,7.95,2
nm1104118,Kim Ki-duk,7.95,2
nm1223910,Sujoy Ghosh,7.95,2
nm0000116,James Cameron,7.94,8
nm0943758,William Wyler,7.93,4
nm0006452,Stanley Kramer,7.93,4
nm0868153,Giuseppe Tornatore,7.93,4
nm0001415,Elia Kazan,7.93,3
nm0332950,Ashutosh Gowariker,7.93,3
nm1999473,Shoojit Sircar,7.93,3
nm1335875,Sukumar,7.93,3
nm0000406,John Ford,7.92,5
nm0466153,Hirokazu Koreeda,7.9,3
nm0112218,Richard Brooks,7.9,2
nm0154716,Stephen Chbosky,7.9,2
nm0001178,Sergei Eisenstein,7.9,1
nm0886754,W.S. Van Dyke,7.9,1
nm0002545,Preston Sturges,7.9,1
nm0780833,George Seaton,7.9,1
nm0467396,Henry Koster,7.9,1
nm0001124,Cecil B. DeMille,7.9,1
nm0720297,Alain Resnais,7.9,1
nm0367431,Anthony Harvey,7.9,1
nm0464911,Yoshifumi Kondô,7.9,1
nm0081433,Fabián Bielinsky,7.9,1
nm0849786,Danis Tanovic,7.9,1
nm0012541,Nikkhil Advani,7.9,1
nm0770942,Richard Schenkman,7.9,1
nm0612816,Cristian Mungiu,7.9,1
nm0371890,Michel Hazanavicius,7.9,1
nm2406154,Daniel Ribeiro,7.9,1
nm0352032,Kamal Haasan,7.9,1
nm1329166,Raja Menon,7.9,1
nm1922242,Hun Jang,7.9,1
nm2669564,R. Balki,7.9,1
nm2279430,Amit Ravindernath Sharma,7.9,1
nm0847223,Isao Takahata,7.85,4
nm0001437,Emir Kusturica,7.85,4
nm0000736,Robert Aldrich,7.85,2
nm2406731,Bryan Fogel,7.85,2
nm1397301,Anurag Basu,7.85,2
nm0898288,Denis Villeneuve,7.83,7
nm0001425,Krzysztof Kieslowski,7.83,4
nm0464804,Satoshi Kon,7.83,4
nm0000320,Luis Buñuel,7.83,3
nm0899121,Thomas Vinterberg,7.8,4
nm0000797,Hal Ashby,7.8,3
nm0533241,Alexander Mackendrick,7.8,2
nm0002080,Bob Fosse,7.8,2
nm0218840,Jacques Demy,7.8,1
nm0835799,Mel Stuart,7.8,1
nm0262693,David Mickey Evans,7.8,1
nm0415714,Thomas Jahn,7.8,1
nm0056725,Christophe Barratier,7.8,1
nm0074163,Edward Berger,7.8,1
nm0448422,Robert Kenner,7.8,1
nm0438461,Abhishek Kapoor,7.8,1
nm3592235,Ritesh Batra,7.8,1
nm0911334,Matthew Warchus,7.8,1
nm0743671,Matt Ross,7.8,1
nm1062080,Saket Chaudhary,7.8,1
nm7243877,Basil Joseph,7.8,1
nm3227090,Damien Chazelle,7.78,4
nm0003593,Fred Zinnemann,7.77,4
nm0001486,Sidney Lumet,7.75,8
